ID,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,SpriteURL
211,Qwilfish,65,95,85,55,55,85,Water,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png
212,Scizor,70,130,100,55,80,65,Bug,Steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png
213,Shuckle,20,10,230,10,230,5,Bug,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png
214,Heracross,80,125,75,40,95,85,Bug,Fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png
215,Sneasel,55,95,55,35,75,115,Dark,Ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png
216,Teddiursa,60,80,50,50,50,40,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png
217,Ursaring,90,130,75,75,75,55,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png
218,Slugma,40,40,40,70,40,20,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png
219,Magcargo,60,50,120,90,80,30,Fire,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png
220,Swinub,50,50,40,30,30,50,Ice,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png
221,Piloswine,100,100,80,60,60,50,Ice,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png
222,Corsola,65,55,95,65,95,35,Water,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png
223,Remoraid,35,65,35,65,35,65,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png
224,Octillery,75,105,75,105,75,45,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png
225,Delibird,45,55,45,65,45,75,Ice,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png
226,Mantine,85,40,70,80,140,70,Water,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png
227,Skarmory,65,80,140,40,70,70,Steel,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png
228,Houndour,45,60,30,80,50,65,Dark,Fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png
229,Houndoom,75,90,50,110,80,95,Dark,Fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png
230,Kingdra,75,95,95,95,95,85,Water,Dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png
231,Phanpy,90,60,60,40,40,40,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png
232,Donphan,90,120,120,60,60,50,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png
233,Porygon2,85,80,90,105,95,60,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png
234,Stantler,73,95,62,85,65,85,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png
235,Smeargle,55,20,35,20,45,75,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png
236,Tyrogue,35,35,35,35,35,35,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png
237,Hitmontop,50,95,95,35,110,70,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png
238,Smoochum,45,30,15,85,65,65,Ice,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png
239,Elekid,45,63,37,65,55,95,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png
240,Magby,45,75,37,70,55,83,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png
241,Miltank,95,80,105,40,70,100,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png
242,Blissey,255,10,10,75,135,55,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png
243,Raikou,90,85,75,115,100,115,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png
244,Entei,115,115,85,90,75,100,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png
245,Suicune,100,75,115,90,115,85,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png
246,Larvitar,50,64,50,45,50,41,Rock,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png
247,Pupitar,70,84,70,65,70,51,Rock,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png
248,Tyranitar,100,134,110,95,100,61,Rock,Dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png
249,Lugia,106,90,130,90,154,110,Psychic,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png
250,Ho-oh,106,130,90,110,154,90,Fire,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png
251,Celebi,100,100,100,100,100,100,Psychic,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png
252,Treecko,40,45,35,65,55,70,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png
253,Grovyle,50,65,45,85,65,95,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png
254,Sceptile,70,85,65,105,85,120,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png
255,Torchic,45,60,40,70,50,45,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png
256,Combusken,60,85,60,85,60,55,Fire,Fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png
257,Blaziken,80,120,70,110,70,80,Fire,Fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png
258,Mudkip,50,70,50,50,50,40,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png
259,Marshtomp,70,85,70,60,70,50,Water,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png
260,Swampert,100,110,90,85,90,60,Water,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png
261,Poochyena,35,55,35,30,30,35,Dark,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png
262,Mightyena,70,90,70,60,60,70,Dark,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png
263,Zigzagoon,38,30,41,30,41,60,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png
264,Linoone,78,70,61,50,61,100,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png
265,Wurmple,45,45,35,20,30,20,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png
266,Silcoon,50,35,55,25,25,15,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png
267,Beautifly,60,70,50,100,50,65,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png
268,Cascoon,50,35,55,25,25,15,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png
269,Dustox,60,50,70,50,90,65,Bug,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png
270,Lotad,40,30,30,40,50,30,Water,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png
271,Lombre,60,50,50,60,70,50,Water,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png
272,Ludicolo,80,70,70,90,100,70,Water,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png
273,Seedot,40,40,50,30,30,30,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png
274,Nuzleaf,70,70,40,60,40,60,Grass,Dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png
275,Shiftry,90,100,60,90,60,80,Grass,Dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png
276,Taillow,40,55,30,30,30,85,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png
277,Swellow,60,85,60,75,50,125,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png
278,Wingull,40,30,30,55,30,85,Water,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png
279,Pelipper,60,50,100,95,70,65,Water,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png
280,Ralts,28,25,25,45,35,40,Psychic,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png
281,Kirlia,38,35,35,65,55,50,Psychic,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png
282,Gardevoir,68,65,65,125,115,80,Psychic,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png
283,Surskit,40,30,32,50,52,65,Bug,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png
284,Masquerain,70,60,62,100,82,80,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png
285,Shroomish,60,40,60,40,60,35,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png
286,Breloom,60,130,80,60,60,70,Grass,Fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png
287,Slakoth,60,60,60,35,35,30,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png
288,Vigoroth,80,80,80,55,55,90,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png
289,Slaking,150,160,100,95,65,100,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png
290,Nincada,31,45,90,30,30,40,Bug,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png
291,Ninjask,61,90,45,50,50,160,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png
292,Shedinja,1,90,45,30,30,40,Bug,Ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png
293,Whismur,64,51,23,51,23,28,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png
294,Loudred,84,71,43,71,43,48,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png
295,Exploud,104,91,63,91,73,68,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png
296,Makuhita,72,60,30,20,30,25,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png
297,Hariyama,144,120,60,40,60,50,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png
298,Azurill,50,20,40,20,40,20,Normal,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png
299,Nosepass,30,45,135,45,90,30,Rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png
300,Skitty,50,45,45,35,35,50,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png
301,Delcatty,70,65,65,55,55,90,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png
302,Sableye,50,75,75,65,65,50,Dark,Ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png
303,Mawile,50,85,85,55,55,50,Steel,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png
304,Aron,50,70,100,40,40,30,Steel,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png
305,Lairon,60,90,140,50,50,40,Steel,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png
306,Aggron,70,110,180,60,60,50,Steel,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png
307,Meditite,30,40,55,40,55,60,Fighting,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png
308,Medicham,60,60,75,60,75,80,Fighting,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png
309,Electrike,40,45,40,65,40,65,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png
310,Manectric,70,75,60,105,60,105,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png
311,Plusle,60,50,40,85,75,95,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png
312,Minun,60,40,50,75,85,95,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png
313,Volbeat,65,73,75,47,85,85,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png
314,Illumise,65,47,75,73,85,85,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png
315,Roselia,50,60,45,100,80,65,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png
316,Gulpin,70,43,53,43,53,40,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png
317,Swalot,100,73,83,73,83,55,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png
318,Carvanha,45,90,20,65,20,65,Water,Dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png
319,Sharpedo,70,120,40,95,40,95,Water,Dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png
320,Wailmer,130,70,35,70,35,60,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png
321,Wailord,170,90,45,90,45,60,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png
322,Numel,60,60,40,65,45,35,Fire,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png
323,Camerupt,70,100,70,105,75,40,Fire,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png
324,Torkoal,70,85,140,85,70,20,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png
325,Spoink,60,25,35,70,80,60,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png
326,Grumpig,80,45,65,90,110,80,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png
327,Spinda,60,60,60,60,60,60,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png
328,Trapinch,45,100,45,45,45,10,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png
329,Vibrava,50,70,50,50,50,70,Ground,Dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png
330,Flygon,80,100,80,80,80,100,Ground,Dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png
331,Cacnea,50,85,40,85,40,35,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png
332,Cacturne,70,115,60,115,60,55,Grass,Dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png
333,Swablu,45,40,60,40,75,50,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png
334,Altaria,75,70,90,70,105,80,Dragon,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png
335,Zangoose,73,115,60,60,60,90,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png
336,Seviper,73,100,60,100,60,65,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png
337,Lunatone,90,55,65,95,85,70,Rock,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png
338,Solrock,90,95,85,55,65,70,Rock,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png
339,Barboach,50,48,43,46,41,60,Water,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png
340,Whiscash,110,78,73,76,71,60,Water,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png
341,Corphish,43,80,65,50,35,35,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png
342,Crawdaunt,63,120,85,90,55,55,Water,Dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png
343,Baltoy,40,40,55,40,70,55,Ground,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png
344,Claydol,60,70,105,70,120,75,Ground,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png
345,Lileep,66,41,77,61,87,23,Rock,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png
346,Cradily,86,81,97,81,107,43,Rock,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png
347,Anorith,45,95,50,40,50,75,Rock,Bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png
348,Armaldo,75,125,100,70,80,45,Rock,Bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png
349,Feebas,20,15,20,10,55,80,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png
350,Milotic,95,60,79,100,125,81,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png
351,Castform,70,70,70,70,70,70,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png
352,Kecleon,60,90,70,60,120,40,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png
353,Shuppet,44,75,35,63,33,45,Ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png
354,Banette,64,115,65,83,63,65,Ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png
355,Duskull,20,40,90,30,90,25,Ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png
356,Dusclops,40,70,130,60,130,25,Ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png
357,Tropius,99,68,83,72,87,51,Grass,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png
358,Chimecho,75,50,80,95,90,65,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png
359,Absol,65,130,60,75,60,75,Dark,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png
360,Wynaut,95,23,48,23,48,23,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png
361,Snorunt,50,50,50,50,50,50,Ice,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png
362,Glalie,80,80,80,80,80,80,Ice,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png
363,Spheal,70,40,50,55,50,25,Ice,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png
364,Sealeo,90,60,70,75,70,45,Ice,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png
365,Walrein,110,80,90,95,90,65,Ice,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png
366,Clamperl,35,64,85,74,55,32,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png
367,Huntail,55,104,105,94,75,52,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png
368,Gorebyss,55,84,105,114,75,52,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png
369,Relicanth,100,90,130,45,65,55,Water,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png
370,Luvdisc,43,30,55,40,65,97,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png
371,Bagon,45,75,60,40,30,50,Dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png
372,Shelgon,65,95,100,60,50,50,Dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png
373,Salamence,95,135,80,110,80,100,Dragon,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png
374,Beldum,40,55,80,35,60,30,Steel,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png
375,Metang,60,75,100,55,80,50,Steel,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png
376,Metagross,80,135,130,95,90,70,Steel,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png
377,Regirock,80,100,200,50,100,50,Rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png
378,Regice,80,50,100,100,200,50,Ice,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png
379,Registeel,80,75,150,75,150,50,Steel,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png
380,Latias,80,80,90,110,130,110,Dragon,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png
381,Latios,80,90,80,130,110,110,Dragon,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png
382,Kyogre,100,100,90,150,140,90,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png
383,Groudon,100,150,140,100,90,90,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png
384,Rayquaza,105,150,90,150,90,95,Dragon,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png
385,Jirachi,100,100,100,100,100,100,Steel,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/385.png
386,Deoxys-normal,50,150,50,150,50,150,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/386.png
387,Turtwig,55,68,64,45,55,31,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/387.png
388,Grotle,75,89,85,55,65,36,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/388.png
389,Torterra,95,109,105,75,85,56,Grass,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/389.png
390,Chimchar,44,58,44,58,44,61,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/390.png
391,Monferno,64,78,52,78,52,81,Fire,Fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/391.png
392,Infernape,76,104,71,104,71,108,Fire,Fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/392.png
393,Piplup,53,51,53,61,56,40,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/393.png
394,Prinplup,64,66,68,81,76,50,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/394.png
395,Empoleon,84,86,88,111,101,60,Water,Steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/395.png
396,Starly,40,55,30,30,30,60,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/396.png
397,Staravia,55,75,50,40,40,80,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/397.png
398,Staraptor,85,120,70,50,60,100,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/398.png
399,Bidoof,59,45,40,35,40,31,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png
400,Bibarel,79,85,60,55,60,71,Normal,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png
401,Kricketot,37,25,41,25,41,25,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/401.png
402,Kricketune,77,85,51,55,51,65,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/402.png
403,Shinx,45,65,34,40,34,45,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/403.png
404,Luxio,60,85,49,60,49,60,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/404.png
405,Luxray,80,120,79,95,79,70,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/405.png
406,Budew,40,30,35,50,70,55,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png
407,Roserade,60,70,65,125,105,90,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/407.png
408,Cranidos,67,125,40,30,30,58,Rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/408.png
409,Rampardos,97,165,60,65,50,58,Rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/409.png
410,Shieldon,30,42,118,42,88,30,Rock,Steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/410.png
411,Bastiodon,60,52,168,47,138,30,Rock,Steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png
412,Burmy,40,29,45,29,45,36,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png
413,Wormadam-plant,60,59,85,79,105,36,Bug,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/413.png
414,Mothim,70,94,50,94,50,66,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/414.png
415,Combee,30,30,42,30,42,70,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/415.png
416,Vespiquen,70,80,102,80,102,40,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/416.png
417,Pachirisu,60,45,70,45,90,95,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/417.png
418,Buizel,55,65,35,60,30,85,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png
419,Floatzel,85,105,55,85,50,115,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/419.png
420,Cherubi,45,35,45,62,53,35,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/420.png
421,Cherrim,70,60,70,87,78,85,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/421.png
